CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
3.0085,0.0115,2.16182,0.00818,-0.00805,JWST Transiting Exoplanet Community ERS Team 2022,0.14703,0.00028,-0.00027,JWST Transiting Exoplanet Community ERS Team 2022,1.2806,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.032,0.012,2.17165,0.00792,-0.00802,JWST Transiting Exoplanet Community ERS Team 2022,0.14737,0.00027,-0.00027,JWST Transiting Exoplanet Community ERS Team 2022,1.2835,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.056,0.012,2.15129,0.00704,-0.00706,JWST Transiting Exoplanet Community ERS Team 2022,0.14667,0.00024,-0.00024,JWST Transiting Exoplanet Community ERS Team 2022,1.2774,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.0795,0.0115,2.15581,0.00748,-0.0078,JWST Transiting Exoplanet Community ERS Team 2022,0.14683,0.00025,-0.00027,JWST Transiting Exoplanet Community ERS Team 2022,1.2788,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.1025,0.0115,2.14563,0.01031,-0.01039,JWST Transiting Exoplanet Community ERS Team 2022,0.14648,0.00035,-0.00036,JWST Transiting Exoplanet Community ERS Team 2022,1.2757,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.126,0.012,2.13556,0.00768,-0.00783,JWST Transiting Exoplanet Community ERS Team 2022,0.14614,0.00026,-0.00027,JWST Transiting Exoplanet Community ERS Team 2022,1.2728,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.1495,0.0115,2.15283,0.00814,-0.00794,JWST Transiting Exoplanet Community ERS Team 2022,0.14673,0.00028,-0.00027,JWST Transiting Exoplanet Community ERS Team 2022,1.2779,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.1735,0.0115,2.13062,0.00834,-0.00807,JWST Transiting Exoplanet Community ERS Team 2022,0.14597,0.00029,-0.00028,JWST Transiting Exoplanet Community ERS Team 2022,1.2713,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.1965,0.0115,2.13707,0.0083,-0.00864,JWST Transiting Exoplanet Community ERS Team 2022,0.14619,0.00028,-0.0003,JWST Transiting Exoplanet Community ERS Team 2022,1.2732,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.22,0.012,2.13912,0.0083,-0.00803,JWST Transiting Exoplanet Community ERS Team 2022,0.14626,0.00028,-0.00027,JWST Transiting Exoplanet Community ERS Team 2022,1.2738,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.244,0.012,2.12268,0.00839,-0.00807,JWST Transiting Exoplanet Community ERS Team 2022,0.14569,0.00029,-0.00028,JWST Transiting Exoplanet Community ERS Team 2022,1.2689,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.2675,0.0115,2.10782,0.00859,-0.00877,JWST Transiting Exoplanet Community ERS Team 2022,0.14518,0.0003,-0.0003,JWST Transiting Exoplanet Community ERS Team 2022,1.2645,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.2905,0.0115,2.11151,0.00904,-0.00911,JWST Transiting Exoplanet Community ERS Team 2022,0.14531,0.00031,-0.00031,JWST Transiting Exoplanet Community ERS Team 2022,1.2656,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.314,0.012,2.12838,0.00854,-0.00837,JWST Transiting Exoplanet Community ERS Team 2022,0.14589,0.00029,-0.00029,JWST Transiting Exoplanet Community ERS Team 2022,1.2706,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.338,0.012,2.12899,0.00848,-0.0092,JWST Transiting Exoplanet Community ERS Team 2022,0.14591,0.00029,-0.00032,JWST Transiting Exoplanet Community ERS Team 2022,1.2708,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.3615,0.0115,2.10759,0.01174,-0.0124,JWST Transiting Exoplanet Community ERS Team 2022,0.14518,0.0004,-0.00043,JWST Transiting Exoplanet Community ERS Team 2022,1.2644,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.3845,0.0115,2.12573,0.00844,-0.00897,JWST Transiting Exoplanet Community ERS Team 2022,0.1458,0.00029,-0.00031,JWST Transiting Exoplanet Community ERS Team 2022,1.2698,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.408,0.012,2.11066,0.00973,-0.0086,JWST Transiting Exoplanet Community ERS Team 2022,0.14528,0.00033,-0.0003,JWST Transiting Exoplanet Community ERS Team 2022,1.2653,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.432,0.012,2.12633,0.00823,-0.00772,JWST Transiting Exoplanet Community ERS Team 2022,0.14582,0.00028,-0.00026,JWST Transiting Exoplanet Community ERS Team 2022,1.27,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.4555,0.0115,2.11543,0.00873,-0.00925,JWST Transiting Exoplanet Community ERS Team 2022,0.14545,0.0003,-0.00032,JWST Transiting Exoplanet Community ERS Team 2022,1.2667,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.4785,0.0115,2.11199,0.00949,-0.00893,JWST Transiting Exoplanet Community ERS Team 2022,0.14533,0.00033,-0.00031,JWST Transiting Exoplanet Community ERS Team 2022,1.2657,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.502,0.012,2.09805,0.01067,-0.00968,JWST Transiting Exoplanet Community ERS Team 2022,0.14485,0.00037,-0.00033,JWST Transiting Exoplanet Community ERS Team 2022,1.2615,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.526,0.012,2.11945,0.00944,-0.00904,JWST Transiting Exoplanet Community ERS Team 2022,0.14558,0.00032,-0.00031,JWST Transiting Exoplanet Community ERS Team 2022,1.2679,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.5725,0.0115,2.12988,0.00975,-0.00989,JWST Transiting Exoplanet Community ERS Team 2022,0.14594,0.00033,-0.00034,JWST Transiting Exoplanet Community ERS Team 2022,1.2711,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.5965,0.0115,2.11852,0.00958,-0.00992,JWST Transiting Exoplanet Community ERS Team 2022,0.14555,0.00033,-0.00034,JWST Transiting Exoplanet Community ERS Team 2022,1.2677,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.62,0.012,2.11535,0.0097,-0.01041,JWST Transiting Exoplanet Community ERS Team 2022,0.14544,0.00033,-0.00036,JWST Transiting Exoplanet Community ERS Team 2022,1.2667,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.6435,0.0115,2.12947,0.00943,-0.00983,JWST Transiting Exoplanet Community ERS Team 2022,0.14593,0.00032,-0.00034,JWST Transiting Exoplanet Community ERS Team 2022,1.2709,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.6665,0.0115,2.1273,0.00992,-0.00985,JWST Transiting Exoplanet Community ERS Team 2022,0.14585,0.00034,-0.00034,JWST Transiting Exoplanet Community ERS Team 2022,1.2703,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.69,0.012,2.09791,0.00852,-0.00893,JWST Transiting Exoplanet Community ERS Team 2022,0.14484,0.00029,-0.00031,JWST Transiting Exoplanet Community ERS Team 2022,1.2615,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.714,0.012,2.10435,0.00973,-0.01006,JWST Transiting Exoplanet Community ERS Team 2022,0.14506,0.00034,-0.00035,JWST Transiting Exoplanet Community ERS Team 2022,1.2634,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.7375,0.0115,2.11426,0.01096,-0.00998,JWST Transiting Exoplanet Community ERS Team 2022,0.1454,0.00038,-0.00034,JWST Transiting Exoplanet Community ERS Team 2022,1.2664,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.7605,0.0115,2.10653,0.01083,-0.01078,JWST Transiting Exoplanet Community ERS Team 2022,0.14514,0.00037,-0.00037,JWST Transiting Exoplanet Community ERS Team 2022,1.2641,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.784,0.012,2.09473,0.00922,-0.00925,JWST Transiting Exoplanet Community ERS Team 2022,0.14473,0.00032,-0.00032,JWST Transiting Exoplanet Community ERS Team 2022,1.2605,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.808,0.012,2.11984,0.01072,-0.01084,JWST Transiting Exoplanet Community ERS Team 2022,0.1456,0.00037,-0.00037,JWST Transiting Exoplanet Community ERS Team 2022,1.2681,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.8315,0.0115,2.08452,0.01173,-0.01178,JWST Transiting Exoplanet Community ERS Team 2022,0.14438,0.00041,-0.00041,JWST Transiting Exoplanet Community ERS Team 2022,1.2575,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.8545,0.0115,2.09151,0.01189,-0.01105,JWST Transiting Exoplanet Community ERS Team 2022,0.14462,0.00041,-0.00038,JWST Transiting Exoplanet Community ERS Team 2022,1.2596,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.8785,0.0115,2.1026,0.00997,-0.00915,JWST Transiting Exoplanet Community ERS Team 2022,0.145,0.00034,-0.00032,JWST Transiting Exoplanet Community ERS Team 2022,1.2629,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.902,0.012,2.09047,0.01137,-0.01184,JWST Transiting Exoplanet Community ERS Team 2022,0.14458,0.00039,-0.00041,JWST Transiting Exoplanet Community ERS Team 2022,1.2592,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.9255,0.0115,2.10912,0.01145,-0.01159,JWST Transiting Exoplanet Community ERS Team 2022,0.14523,0.00039,-0.0004,JWST Transiting Exoplanet Community ERS Team 2022,1.2648,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.9485,0.0115,2.09983,0.01219,-0.01216,JWST Transiting Exoplanet Community ERS Team 2022,0.14491,0.00042,-0.00042,JWST Transiting Exoplanet Community ERS Team 2022,1.2621,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.972,0.012,2.10995,0.01026,-0.00973,JWST Transiting Exoplanet Community ERS Team 2022,0.14526,0.00035,-0.00034,JWST Transiting Exoplanet Community ERS Team 2022,1.2651,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.996,0.012,2.14208,0.01223,-0.01265,JWST Transiting Exoplanet Community ERS Team 2022,0.14636,0.00042,-0.00043,JWST Transiting Exoplanet Community ERS Team 2022,1.2747,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.0195,0.0115,2.13689,0.00977,-0.01085,JWST Transiting Exoplanet Community ERS Team 2022,0.14618,0.00033,-0.00037,JWST Transiting Exoplanet Community ERS Team 2022,1.2731,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.0425,0.0115,2.14585,0.01212,-0.01218,JWST Transiting Exoplanet Community ERS Team 2022,0.14649,0.00041,-0.00042,JWST Transiting Exoplanet Community ERS Team 2022,1.2758,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.066,0.012,2.11356,0.01191,-0.01346,JWST Transiting Exoplanet Community ERS Team 2022,0.14538,0.00041,-0.00046,JWST Transiting Exoplanet Community ERS Team 2022,1.2662,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.09,0.012,2.10623,0.01086,-0.01109,JWST Transiting Exoplanet Community ERS Team 2022,0.14513,0.00037,-0.00038,JWST Transiting Exoplanet Community ERS Team 2022,1.264,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.1135,0.0115,2.09323,0.01224,-0.01346,JWST Transiting Exoplanet Community ERS Team 2022,0.14468,0.00042,-0.00047,JWST Transiting Exoplanet Community ERS Team 2022,1.2601,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
