wavelength_micron (rp/rs)^2 error
2.76971 0.0219693 0.0002686
2.77650 0.0224913 0.0002396
2.78335 0.0224374 0.0002535
2.79048 0.0222215 0.0002021
2.79760 0.0224318 0.0002025
2.80439 0.0222744 0.0002016
2.81118 0.0219231 0.000183
2.81797 0.0221702 0.0001681
2.82475 0.0223108 0.0001783
2.83154 0.0222133 0.0001596
2.83832 0.0224683 0.0001628
2.84551 0.0221459 0.0001776
2.85263 0.0221598 0.0001507
2.85942 0.0220345 0.000151
2.86450 0.0221985 0.0001955
2.86959 0.0222223 0.00016
2.87638 0.0219884 0.0001389
2.88316 0.0220793 0.000188
2.88994 0.022122 0.0001386
2.89673 0.0221237 0.0001471
2.90351 0.0222264 0.000154
2.91035 0.0223327 0.0001583
2.91713 0.0216849 0.000154
2.92392 0.0218095 0.0001419
2.93070 0.0218182 0.0001583
2.93748 0.0218678 0.0001637
2.94426 0.0218216 0.0001362
2.95104 0.0219387 0.0001848
2.95782 0.021989 0.0001411
2.96460 0.0218939 0.000146
2.97138 0.0219016 0.0001306
2.97822 0.0217106 0.0001218
2.98500 0.0214396 0.0001562
2.99177 0.0216959 0.0001417
2.99855 0.0217216 0.0001374
3.00533 0.0219394 0.0001331
3.01211 0.0217923 0.000141
3.01888 0.0217253 0.0001647
3.02566 0.0216132 0.0001337
3.03244 0.021568 0.0001303
3.03921 0.0216373 0.0001317
3.04599 0.0217304 0.0001345
3.05282 0.0219578 0.0001448
3.05960 0.0215215 0.0001274
3.06637 0.021707 0.0001367
3.07314 0.021498 0.0003228
3.07992 0.021772 0.0001297
3.08669 0.0217085 0.0001303
3.09346 0.0217343 0.0001278
3.10024 0.0213142 0.0001316
3.10701 0.0214709 0.0001284
3.11378 0.0215387 0.0001325
3.12055 0.0217238 0.0001361
3.12732 0.0213593 0.0001254
3.13409 0.0214749 0.0001347
3.14092 0.0214691 0.0001336
3.14769 0.0212767 0.0001316
3.15446 0.0216247 0.0001337
3.16123 0.0216806 0.0001353
3.16799 0.0215102 0.0001241
3.17476 0.0219102 0.000154
3.18153 0.0212771 0.0001436
3.18830 0.0212687 0.0001325
3.19506 0.0213229 0.0001297
3.20183 0.0216396 0.0001257
3.20859 0.0213565 0.0001412
